agent_id,svi,arrived_at,end_state,original_mode,final_mode,status,evacuation_time_minutes,total_distance_m,start_lat,start_lon,end_lat,end_lon,fail_reason,started_at,used_public_transport,segments_completed,total_segments,start_in_evacuation_area,end_in_evacuation_area,total_wait_time_minutes,total_transit_time_minutes,total_walking_time_minutes,stations_visited,routes_taken,target_destination_name,target_destination_type,target_destination_lat,target_destination_lon,target_destination_distance_m,destination_category,is_home_destination
42_0308,0.6954420220706902,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,455.0921362187278,48.8837641,2.5316086,48.8821369,2.5373101,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École primaire Le Moulin Rompu,school,48.9519792,3.0190924,36422.14983621205,Educational,false
42_0368,0.5339291153493513,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,406.0943720853079,48.8715849,2.3377446,48.8736144,2.3353219,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire Louis Lachenal,school,48.9936322,1.6908978,49143.479836175786,Educational,false
42_0051,0.6441667392770936,2025-09-01T08:05:00,,TRAIN,WALKING,EVACUATING,5.0,2.973664444044311,48.8707762,2.3467297,48.8707802,2.3467699,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,49956.47811486384,Educational,false
42_0260,0.5897041999481066,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,2673.7667317214887,48.8110757,2.2117239,48.7879809,2.2218541,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Église Saint-Aignan,place_of_worship,48.7768342,1.6632409,40382.7890833452,Religious,false
42_0218,0.20350228482905747,2025-09-01T08:05:00,,SUBWAY,WALKING,EVACUATING,5.0,62.59720060677198,48.8337671,2.2436944,48.8339501,2.2434264,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],"Safe Location (49.0487, 1.4509)",Safe Zone,49.048703,1.4508599,62649.52944351333,Evacuation,false
42_0285,0.6569442246441738,2025-09-01T08:05:00,,WALKING,WALKING,EVACUATING,5.0,271.08635223670007,48.8661679,2.3355553,48.8644211,2.3351517,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,50677.42954415833,Community,false
42_0380,0.5942217443566822,2025-09-01T08:05:00,,TWO_WHEELER,WALKING,EVACUATING,5.0,244.17584248054968,48.9137413,2.3098025,48.9133827,2.3068727,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École primaire Arthieul,school,49.1552855,1.8049165,45554.6216255303,Educational,false
42_0302,0.5962503078990803,2025-09-01T08:05:00,,TRAIN,WALKING,EVACUATING,5.0,60.652309074067205,48.8419803,2.3667597,48.8418008,2.3673002,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,48793.5073058195,Community,false
42_0148,0.5197492225840902,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,332.0221175006236,48.9323771,2.060024,48.9326566,2.0564068,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire Louis Lachenal,school,48.9936322,1.6908978,27810.076472452598,Educational,false
42_0453,0.5957225592523098,2025-09-01T08:01:00,FAILED,BIKE,BIKE,FAILED,1.0,0.0,48.8661145,2.4166983,48.8661145,2.4166983,Could not find any safe destination,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],,Unknown,,,0.0,Unknown,false
42_0151,0.4477915970294458,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,693.2060971409031,48.8557078,2.3168859,48.8518154,2.3145185,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire André Buvat,school,48.4292219,2.1451672,49101.37320237129,Educational,false
42_0237,0.32712762839511195,2025-09-01T08:05:00,,TRAIN_EXPRESS,WALKING,EVACUATING,5.0,179.02824033467303,48.8454617,2.375131,48.8456628,2.372905,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,49375.16822704046,Community,false
